generation,run_0
0,44.3306756958561
1,33.042909551433524
2,28.623342823600403
3,25.55855704646375
4,22.45326667277455
5,19.976213831795047
6,18.59990997168241
7,17.87842337223398
8,16.828777472252547
9,16.328923074497673
10,9.009474979360633
11,6.8169308597200535
12,5.858457093946347
13,5.823438338738546
14,5.031618376672877
15,4.419297124116678
16,3.7312166378683553
17,3.620436498337428
18,3.550234926802313
19,3.175317486005444
20,3.159142925731102
21,3.159142925731102
22,2.953790437919471
23,2.726949798062991
24,2.7250506864213175
25,2.6707061691260834
26,2.609469051848486
27,2.609469051848486
28,2.609469051848486
29,2.609469051848486
30,2.609469051848486
31,2.609469051848486
32,2.609469051848486
33,2.609469051848486
34,2.609469051848486
35,2.609469051848486
36,2.609469051848486
37,2.609469051848486
38,2.609469051848486
39,2.609469051848486
40,2.609469051848486
41,2.609469051848486
42,2.609469051848486
43,2.609469051848486
44,2.483533725637802
45,2.483533725637802
46,2.4469159288122855
47,2.4469159288122855
48,2.4469159288122855
49,2.4469159288122855
50,2.3420667444368437
51,2.3318729832685205
52,2.3318729832685205
53,2.3318729832685205
54,2.3318729832685205
55,2.3318729832685205
56,2.3318729832685205
57,2.3318729832685205
58,2.3318729832685205
59,2.3318729832685205
60,2.3318729832685205
61,2.3318729832685205
62,2.3318729832685205
63,2.3318729832685205
64,2.3318729832685205
65,2.3318729832685205
66,2.3318729832685205
67,2.3318729832685205
68,2.3318729832685205
69,2.3318729832685205
70,2.242420402865616
71,2.242420402865616
72,2.1716098710698315
73,2.06930488652233
74,2.06930488652233
75,2.06930488652233
76,2.06930488652233
77,2.06930488652233
78,2.06930488652233
79,2.06930488652233
80,2.06930488652233
81,2.06930488652233
82,2.06930488652233
83,2.06930488652233
84,2.06930488652233
85,2.06930488652233
86,2.06930488652233
87,2.06930488652233
88,2.06930488652233
89,2.06930488652233
90,2.06930488652233
91,2.06930488652233
92,2.06930488652233
93,2.06930488652233
94,2.06930488652233
95,2.06930488652233
96,2.06930488652233
97,2.06930488652233
98,2.06930488652233
99,2.06930488652233
100,2.003703448518803
101,2.003703448518803
102,2.003703448518803
103,2.003703448518803
104,2.003703448518803
105,2.003703448518803
106,2.003703448518803
107,2.003703448518803
108,2.003703448518803
109,2.003703448518803
110,2.003703448518803
111,2.003703448518803
112,2.003703448518803
113,2.003703448518803
114,2.003703448518803
115,2.003703448518803
116,2.003703448518803
117,2.003703448518803
