gen,best,mean,entropy,t,noise,alpha,stagn,accept_rate,succ_rand1,succ_current_pc,succ_current_rand
97,1.69693089805907e-05,5.808260561149437,0.24491509770441527,0.85,0.009030766164298636,0.24997878836382517,87,0.0,4,6,6
98,1.69693089805907e-05,5.496477170894289,0.21922136104716203,0.85,0.00902076531583319,0.24997878836382517,88,0.0,4,6,6
99,1.69693089805907e-05,6.563581557393023,0.18276723913160678,0.85,0.009010764467367743,0.24997878836382517,89,0.0,4,6,6
100,1.69693089805907e-05,1.5533411148574314,0.22755469438801787,0.85,0.009000763618902296,0.24997878836382517,90,0.0,4,6,6
101,1.69693089805907e-05,8.37255762627917,0.0872446039054533,0.85,0.013486144155655272,0.24997878836382517,91,0.0,4,6,6
102,1.69693089805907e-05,4.158809873658838,0.3112982025956448,0.85,0.0089807619219714,0.24997878836382517,92,0.0,4,6,6
103,1.69693089805907e-05,5.380590356697494,0.15851700444683753,0.85,0.013456141610258933,0.24997878836382517,93,0.0,4,6,6
104,1.69693089805907e-05,5.414740406588466,0.20347354855891675,0.85,0.008960760225040507,0.24997878836382517,94,0.0,4,6,6
105,1.69693089805907e-05,3.3290583470022765,0.20347354857004762,0.85,0.00895075937657506,0.24997878836382517,95,0.0,4,6,6
106,1.69693089805907e-05,4.952516209498458,0.17353962761946187,0.85,0.01341113779216442,0.24997878836382517,96,0.0,4,6,6
107,1.69693089805907e-05,4.0958463058020715,0.1693729609734723,0.85,0.013396136519466249,0.24997878836382517,97,0.0,4,6,6
108,1.69693089805907e-05,5.168979853055552,0.1434943812690948,0.85,0.013381135246768079,0.24997878836382517,98,0.0,4,6,6
109,1.69693089805907e-05,4.803038423426274,0.22912737668360122,0.85,0.008910755982713271,0.24997878836382517,99,0.0,4,6,6
110,1.69693089805907e-05,0.5839380598487729,0.21264444699546972,0.85,0.008900755134247824,0.24997878836382517,100,0.0,4,6,6
111,1.69693089805907e-05,3.280673414515347,0.07453364025461515,0.85,0.013336131428673566,0.24997878836382517,101,0.0,4,6,6
112,1.69693089805907e-05,4.089942479376581,0.16685033777957112,0.85,0.013321130155975398,0.24997878836382517,102,0.0,4,6,6
113,1.69693089805907e-05,5.850740562781515,0.13258377420488465,0.85,0.013306128883277226,0.24997878836382517,103,0.0,4,6,6
114,1.69693089805907e-05,4.355498421528919,0.2463322637680447,0.85,0.008860751740386037,0.24997878836382517,104,0.0,4,6,6
115,1.69693089805907e-05,5.087359549849259,0.13258377420363124,0.85,0.013276126337880886,0.24997878836382517,105,0.0,4,6,6
116,1.69693089805907e-05,2.080672087601914,0.19773419959930866,0.85,0.008840750043455144,0.24997878836382517,106,0.0,4,6,6
117,1.69693089805907e-05,3.9216208183322974,0.1175065004517396,0.85,0.013246123792484545,0.24997878836382517,107,0.0,4,6,6
118,1.69693089805907e-05,2.335377302607793,0.15182771459562006,0.85,0.013231122519786372,0.24997878836382517,108,0.0,4,6,6
119,1.69693089805907e-05,3.736327852967715,0.1216731671315808,0.85,0.013216121247088203,0.24997878836382517,109,0.0,4,6,6
120,1.69693089805907e-05,7.67813823430455,0.1476610479401629,0.85,0.013201119974390033,0.24997878836382517,110,0.0,4,6,6
121,1.69693089805907e-05,2.915023048229881,0.30381337346864895,0.85,0.00879074580112791,0.24997878836382517,111,0.0,4,6,6
122,1.69693089805907e-05,5.623730483064607,0.11750650046890655,0.85,0.01317111742899369,0.24997878836382517,112,0.0,4,6,6
123,1.69693089805907e-05,3.142242038255767,0.20347354856018388,0.85,0.008770744104197014,0.24997878836382517,113,0.0,4,6,6
