gen,best,mean,entropy,t,noise,alpha,stagn,accept_rate,succ_rand1,succ_current_pc,succ_current_rand
1,0.2387477566350642,9.572064206408575,0.9436382820067237,0.8492,0.01997999999999997,7.494005416219807e-16,0,0.25,1,8,6
2,0.2387477566350642,1.9945721791855051,0.8825842500093827,0.8483999999999999,0.0182807134541372,0.04206629623904812,1,0.058823529411764705,1,11,6
3,0.2387477566350642,1.0221977764499512,0.8781280715100976,0.8475999999999999,0.01826239610598676,0.04206629623904812,2,0.07692307692307693,1,14,6
4,0.09998397978331952,0.7525910377076096,0.8552829941246433,0.8468,0.018244078757836322,0.04206629623904812,0,0.13513513513513514,1,17,8
5,0.09785898579802055,0.572044408210561,0.842254569484541,0.846,0.014547438888147045,0.13448646009680792,0,0.0,1,17,8
6,0.08953900940283555,0.4499106328222994,0.831439570276864,0.8452,0.014449347076166758,0.13658583812457853,0,0.04,1,18,9
7,0.00490189759557802,0.3622670507321654,0.8452550831100027,0.8443999999999999,0.014100624727095473,0.14499937746486727,0,0.02127659574468085,1,18,10
8,0.00490189759557802,0.600481841016501,0.8724224255609591,0.8435999999999999,0.010163085447664906,0.2438738546455417,1,0.0,1,18,10
9,0.00490189759557802,1.8968667407978035,0.545946671549702,0.8427999999999999,0.010152840401850728,0.2438738546455417,2,0.0,1,18,10
10,0.00490189759557802,3.72268520087987,0.33299981994880157,0.842,0.01014259535603655,0.2438738546455417,3,0.0,1,18,10
11,0.00490189759557802,5.14614551808904,0.21275347143689308,0.8412000000000001,0.01013235031022237,0.2438738546455417,4,0.0,1,18,10
12,0.00490189759557802,7.2149142395067845,0.32789217944053617,0.85,0.010122105264408193,0.2438738546455417,5,0.027777777777777776,1,19,10
13,0.00490189759557802,3.0280186514619394,0.18675017375014935,0.85,0.010111860218594015,0.2438738546455417,6,0.0,1,19,10
14,0.00490189759557802,0.5413361131006276,0.24066125955249837,0.85,0.010101615172779837,0.2438738546455417,7,0.0,1,19,10
15,0.00490189759557802,6.905170678979846,0.41504630486798233,0.85,0.010091370126965657,0.2438738546455417,8,0.0,1,19,10
16,0.00490189759557802,8.779953058503262,0.23824047569173484,0.85,0.01008112508115148,0.2438738546455417,9,0.0,1,19,10
17,0.00490189759557802,7.850874259023359,0.4210307051857478,0.85,0.010070880035337302,0.2438738546455417,10,0.0,1,19,10
18,0.00490189759557802,5.487568975063918,0.24397982454277536,0.85,0.010060634989523124,0.2438738546455417,11,0.0,1,19,10
19,0.00490189759557802,5.886713062339719,0.22944690764215203,0.85,0.010050389943708944,0.2438738546455417,12,0.0,1,19,10
20,0.00490189759557802,3.1324663273328097,0.245355953422408,0.85,0.010040144897894766,0.2438738546455417,13,0.0,1,19,10
21,0.00490189759557802,9.117108500487348,0.22024986497128535,0.85,0.010029899852080588,0.2438738546455417,14,0.0,1,19,10
22,0.00490189759557802,5.348503832065314,0.22906957740776798,0.85,0.01001965480626641,0.2438738546455417,15,0.0,1,19,10
23,0.00490189759557802,10.487749655251204,0.2393397883816958,0.85,0.010009409760452231,0.2438738546455417,16,0.0,1,19,10
24,0.00490189759557802,8.829614891256536,0.28864341316141295,0.85,0.009999164714638053,0.2438738546455417,17,0.0,1,19,10
25,0.00490189759557802,12.201071359700245,0.24956423726773144,0.85,0.009988919668823875,0.2438738546455417,18,0.0,1,19,10
26,0.00490189759557802,6.539980825022054,0.29417470921925637,0.85,0.009978674623009698,0.2438738546455417,19,0.0,1,19,10
27,0.00490189759557802,3.8450184234926668,0.288683140505242,0.85,0.009968429577195518,0.2438738546455417,20,0.0,1,19,10
28,0.00490189759557802,7.8843819522569065,0.20149946246211653,0.85,0.009958184531381338,0.2438738546455417,21,0.0,1,19,10
29,0.001882325106586702,4.8001738689304805,0.17770629965414902,0.85,0.014921909228350742,0.2438738546455417,0,0.0,1,19,10
30,0.001882325106586702,10.976957943862175,0.21720937182818464,0.826,0.009791290072233547,0.2476471630867643,1,0.0,1,19,10
31,0.001882325106586702,6.62507436333546,0.28261981530988634,0.8252,0.009781195958757018,0.2476471630867643,2,0.0,1,19,10
32,0.001882325106586702,6.19335429846877,0.13258378030676993,0.85,0.01465665276792073,0.2476471630867643,3,0.0,1,19,10
33,0.001882325106586702,5.342487354002101,0.2746428274867448,0.8236,0.009761007731803958,0.2476471630867643,4,0.0,1,19,10
34,0.001882325106586702,6.583911410402979,0.22931983410570375,0.85,0.009750913618327429,0.2476471630867643,5,0.0,1,19,10
35,0.001882325106586702,6.754567206375894,0.20887603927296458,0.85,0.0097408195048509,0.2476471630867643,6,0.0,1,19,10
36,0.0004770311129718152,2.143379750211126,0.29541217991295216,0.85,0.00973072539137437,0.2476471630867643,0,0.024390243902439025,1,20,10
37,0.0004770311129718152,6.167873155906503,0.24914053537801953,0.8204,0.009652969004532972,0.2494037122395386,1,0.0,1,20,10
38,0.0004770311129718152,6.7826179657527,0.25083382075974,0.8196,0.009642945153022555,0.2494037122395386,2,0.0,1,20,10
39,0.0004770311129718152,2.3252591271429766,0.3360473895330649,0.8188,0.009632921301512136,0.2494037122395386,3,0.0,1,20,10
40,0.0004770311129718152,3.059825032766556,0.17860057588984457,0.85,0.014434346175002576,0.2494037122395386,4,0.0,1,20,10
41,0.0004770311129718152,5.2809586595059645,0.14343973433169002,0.85,0.014419310397736947,0.2494037122395386,5,0.0,1,20,10
42,0.0004770311129718152,11.815430343611549,0.23806050340626822,0.85,0.00960284974698088,0.2494037122395386,6,0.0,1,20,10
43,0.0004770311129718152,9.826118601816924,0.28231933785249497,0.85,0.009592825895470463,0.2494037122395386,7,0.0,1,20,10
44,0.0004770311129718152,2.0747479038921193,0.24869045830518427,0.85,0.009582802043960042,0.2494037122395386,8,0.0,1,20,10
45,0.0004770311129718152,3.900675204253798,0.2680493346175118,0.85,0.009572778192449624,0.2494037122395386,9,0.0,1,20,10
46,0.0004770311129718152,3.008526084322943,0.13258377865282225,0.85,0.014344131511408809,0.2494037122395386,10,0.022222222222222223,1,21,10
