gen,best,mean,entropy,t,noise,alpha,stagn,accept_rate,succ_rand1,succ_current_pc,succ_current_rand
67,2.8591040646119836e-10,0.029128040643624516,0.17770629433433596,0.85,0.013995000020006584,0.249999999642612,47,0.0,4,6,4
68,2.8591040646119836e-10,0.05313761516953417,0.09141127067681319,0.85,0.013980000019985136,0.249999999642612,48,0.0,4,6,4
69,2.8591040646119836e-10,0.051004660808552815,0.17770629434885604,0.85,0.013965000019963696,0.249999999642612,49,0.0,4,6,4
70,2.8591040646119836e-10,0.045863696825920626,0.1993068819091104,0.85,0.009300000013294833,0.249999999642612,50,0.0,4,6,4
71,2.8591040646119836e-10,0.028253803551254456,0.22255046263927689,0.85,0.00929000001328054,0.249999999642612,51,0.0,4,6,4
72,2.8591040646119836e-10,0.04403569552509115,0.14349438129782013,0.85,0.013920000019899365,0.249999999642612,52,0.0,4,6,4
73,2.8591040646119836e-10,0.062088309443489975,0.1518277146376607,0.85,0.013905000019877921,0.249999999642612,53,0.0,4,6,4
74,2.8591040646119836e-10,0.03844656913935495,0.13258377425993778,0.85,0.013890000019856479,0.249999999642612,54,0.0,4,6,4
75,2.8591040646119836e-10,0.10060306017968425,0.24143642952245303,0.85,0.009250000013223358,0.249999999642612,55,0.0,4,6,4
76,2.8591040646119836e-10,0.026651914161781406,0.32899079987293284,0.85,0.00924000001320906,0.249999999642612,56,0.0,4,6,4
77,2.8591040646119836e-10,0.07270141583513569,0.1216731671983185,0.85,0.013845000019792147,0.249999999642612,57,0.0,4,6,4
78,2.8591040646119836e-10,0.00999396463086858,0.20758350218048327,0.85,0.009220000013180471,0.249999999642612,58,0.0,4,6,4
79,2.8591040646119836e-10,0.035840328100476083,0.06104390846646359,0.85,0.013815000019749262,0.249999999642612,59,0.0,4,6,4
80,2.8591040646119836e-10,0.06308842426742324,0.1786005725434135,0.85,0.013800000019727818,0.249999999642612,60,0.0,4,6,4
81,2.8591040646119836e-10,0.02874141518887671,0.24397982027063767,0.85,0.009190000013137583,0.249999999642612,61,0.0,4,6,4
82,2.8591040646119836e-10,0.03931168504224516,0.07622758952190573,0.85,0.013770000019684932,0.249999999642612,62,0.0,4,6,4
83,2.8591040646119836e-10,0.042523108169484077,0.2619983453030247,0.85,0.009170000013108992,0.249999999642612,63,0.0,4,6,4
84,2.8591040646119836e-10,0.06448382361685565,0.1518277146151897,0.85,0.013740000019642044,0.249999999642612,64,0.0,4,6,4
85,2.8591040646119836e-10,0.06373367166934389,0.1693729610014104,0.85,0.013725000019620603,0.249999999642612,65,0.0,4,6,4
86,2.8591040646119836e-10,0.05317293874125549,0.24397982026602616,0.85,0.009140000013066106,0.249999999642612,66,0.0,4,6,4
87,2.8591040646119836e-10,0.05267940784656512,0.20764021526491955,0.85,0.00913000001305181,0.249999999642612,67,0.0,4,6,4
88,2.8591040646119836e-10,0.034228860649338125,0.21421712931492606,0.85,0.009120000013037515,0.249999999642612,68,0.0,4,6,4
89,2.8591040646119836e-10,0.03184786236216405,0.14766104796984367,0.85,0.013665000019534829,0.249999999642612,69,0.0,4,6,4
90,2.8591040646119836e-10,0.06954138115030546,0.20347354861183944,0.85,0.009100000013008924,0.249999999642612,70,0.0,4,6,4
