generation,run_0
0,-10.632912630342508
1,-11.37068494696109
2,-13.625605064657751
3,-15.958328073488511
4,-16.117443026914533
5,-17.73254720550657
6,-18.44292284445809
7,-18.572000747058024
8,-19.079888694631435
9,-19.14926046199819
10,-19.190988006892844
11,-19.203205278727467
12,-19.208379588961524
13,-19.208379588961524
14,-19.208379588961524
15,-19.208379588961524
16,-19.208379588961524
17,-19.208379588961524
18,-19.208379588961524
19,-19.208379588961524
20,-19.208432556114065
21,-19.208432556114065
22,-19.208432556114065
23,-19.208491543498443
24,-19.208491543498443
25,-19.208491543498443
26,-19.208491543498443
27,-19.208491543498443
28,-19.208491543498443
29,-19.208491543498443
30,-19.208491543498443
31,-19.208491543498443
32,-19.208491543498443
33,-19.208491543498443
34,-19.208491543498443
35,-19.208491543498443
36,-19.208491543498443
37,-19.208491543498443
38,-19.208491543498443
39,-19.208491543498443
40,-19.208491543498443
41,-19.208491543498443
42,-19.208491543498443
43,-19.208491543498443
44,-19.208491543498443
45,-19.208491543498443
46,-19.208491543498443
47,-19.208491543498443
48,-19.208491543498443
49,-19.208491543498443
50,-19.208491543498443
51,-19.208491543498443
52,-19.208491543498443
53,-19.208491543498443
54,-19.208491543498443
55,-19.208491543498443
56,-19.208491543498443
57,-19.208491543498443
58,-19.208491543498443
59,-19.208491543498443
60,-19.208491543498443
61,-19.208491543498443
62,-19.208491543498443
63,-19.208491543498443
64,-19.208491543498443
65,-19.208491543498443
66,-19.208491543498443
67,-19.208491543498443
68,-19.208491543498443
69,-19.208491543498443
70,-19.208491543498443
71,-19.208491543498443
72,-19.208491543498443
73,-19.208491543498443
74,-19.208491543498443
75,-19.208491543498443
76,-19.208491543498443
77,-19.208491543498443
78,-19.208491543498443
79,-19.208491543498443
80,-19.208491543498443
81,-19.208491543498443
82,-19.208491543498443
83,-19.208491543498443
84,-19.208491543498443
85,-19.208491543498443
86,-19.208491543498443
87,-19.208491543498443
88,-19.208491543498443
89,-19.208491543498443
90,-19.208491543498443
91,-19.208491543498443
92,-19.208491543498443
93,-19.208491543498443
94,-19.208491543498443
95,-19.208491543498443
96,-19.208491543498443
97,-19.208491543498443
98,-19.208491543498443
99,-19.208491543498443
100,-19.208491543498443
101,-19.208491543498443
102,-19.208491543498443
103,-19.208491543498443
104,-19.208491543498443
105,-19.208491543498443
106,-19.208491543498443
107,-19.208491543498443
108,-19.208491543498443
109,-19.208491543498443
110,-19.208491543498443
111,-19.208491543498443
112,-19.208491543498443
113,-19.208491543498443
114,-19.208491543498443
115,-19.208491543498443
116,-19.208491543498443
117,-19.208491543498443
118,-19.208491543498443
119,-19.208491543498443
120,-19.208491543498443
121,-19.208491543498443
122,-19.208491543498443
123,-19.208491543498443
124,-19.208491543498443
125,-19.208491543498443
126,-19.208491543498443
127,-19.208491543498443
128,-19.208491543498443
129,-19.208491543498443
130,-19.208491543498443
131,-19.208491543498443
132,-19.208491543498443
133,-19.208491543498443
134,-19.208491543498443
135,-19.208491543498443
136,-19.208491543498443
137,-19.208491543498443
138,-19.208491543498443
139,-19.208491543498443
140,-19.208491543498443
141,-19.208491543498443
142,-19.208491543498443
143,-19.208491543498443
144,-19.208491543498443
145,-19.208491543498443
146,-19.208491543498443
147,-19.208491543498443
148,-19.208491543498443
149,-19.208491543498443
150,-19.208491543498443
151,-19.208491543498443
152,-19.208491543498443
153,-19.208491543498443
154,-19.208491543498443
155,-19.208491543498443
156,-19.208491543498443
157,-19.208491543498443
158,-19.208491543498443
159,-19.208491543498443
160,-19.208491543498443
161,-19.208491543498443
162,-19.208491543498443
163,-19.208491543498443
164,-19.208491543498443
165,-19.208491543498443
166,-19.208491543498443
167,-19.208491543498443
168,-19.208491543498443
169,-19.208491543498443
170,-19.208491543498443
171,-19.208491543498443
172,-19.208491543498443
173,-19.208491543498443
174,-19.208491543498443
175,-19.208491543498443
176,-19.208491543498443
177,-19.208491543498443
178,-19.208491543498443
179,-19.208491543498443
180,-19.208491543498443
181,-19.208491543498443
182,-19.208491543498443
183,-19.208491543498443
184,-19.208491543498443
185,-19.208491543498443
186,-19.208491543498443
187,-19.208491543498443
188,-19.208491543498443
189,-19.208491543498443
